,opprpg
775,4.15524
1993,4.50252
3204,4.677597142857144
1311,4.01644
2235,4.49768
2032,4.57865
3225,4.481
1228,4.6954
135,4.95606
3169,4.44684
2156,4.85895
2093,4.48127
4201,4.32337
727,4.47535
2390,4.02801
1565,4.57865
4015,3.97501
5348,4.58322
1824,4.49768
2533,4.32337
4155,4.32283
4988,4.79788
3371,4.481
4392,4.54341
2150,4.69486
4012,4.13399
4849,4.67092
4759,3.97959
1951,5.39802
3323,4.50898
1149,4.70696
4472,4.62384
5080,4.96224
1786,4.28947
4762,4.70696
4552,4.32337
2021,4.73359
1483,4.67092
4677,3.4679500000000005
3606,4.32902
1856,4.13641
3762,4.88558
3618,4.379049999999999
4790,3.92041
3292,3.89996
1682,4.55336
2405,4.49768
2173,4.66123
5199,4.21496
2018,5.04133
5327,4.5001
396,4.6954
4358,4.934000000000001
1999,4.97381
2994,4.43204
1488,4.83016
4188,4.13399
5189,3.99035
5544,4.32902
4186,3.89996
561,4.60824
1972,4.01644
2208,4.09875
2434,4.32337
3996,4.13641
2637,3.408361811023622
32,4.60824
104,3.679650000000001
3374,4.32337
3580,4.11785
5286,4.481
3040,4.62384
5105,4.63756
4863,4.54341
4601,4.62384
4761,4.22707
5539,4.58322
2548,4.13265
1965,4.481
1067,3.87817
213,4.06809
3917,4.58322
271,4.15524
1753,4.304
1678,4.06809
273,4.72014
2118,4.71718
1512,4.55336
3267,4.6954
2911,4.63541
2496,4.83016
3999,4.54341
3177,4.32337
4461,3.97959
4382,4.73279
4839,5.04133
3854,4.481
585,4.11785
1628,4.32902
2255,4.05356
4657,4.86675
2207,4.28517
1338,4.70696
4311,4.66123
883,5.31786
1210,4.06217
4517,3.40823
620,4.22707
4545,4.298619999999999
5552,4.43204
520,4.63541
1127,4.21227
2325,4.01509
2664,4.77852
2771,4.71718
5647,4.02801
3784,3.40823
2931,4.50252
882,5.29365
1051,4.41052
5646,4.41052
2672,4.13399
3955,4.44684
2683,4.49876
3698,4.29862
171,4.60824
3911,4.21227
1879,3.97501
1648,4.44684
1583,3.99035
3815,4.50252
5070,5.39802
4633,4.13399
3175,4.5001
30,4.48127
1000,3.40823
2955,4.83016
4925,4.37636
2562,4.48127
1400,4.02801
3622,4.48127
1635,5.249799999999999
518,3.8623
5222,5.39802
4544,4.09875
4801,3.97501
289,4.79788
4334,4.32283
586,3.9750100000000006
4020,3.40823
1591,3.87817
3743,4.88558
3002,4.5235
117,4.83016
1353,4.704
52,5.2498
5141,3.40823
4417,4.21227
4263,4.49768
943,4.96224
2966,4.62384
163,4.481
1924,4.22222
1129,3.87817
4079,4.28517
3486,4.28947
4279,4.15282
4598,5.050479999999999
930,4.05356
3889,4.72014
3887,4.90387
5220,3.87817
4501,4.86675
629,4.934
3674,4.48127
4693,4.02801
4266,4.63756
2929,4.10117
1118,4.49768
3126,5.10078
5243,4.92028
4986,4.71718
5350,4.934
5431,3.46795
4649,3.87817
3301,4.83016
356,5.39802
832,4.41052
3185,4.32337
5487,4.54341
218,4.13641
141,3.67965
2969,4.3812
2285,3.89996
3604,4.37905
5336,4.15282
1259,4.43204
729,4.97381
4775,4.49876
4704,4.88558
1538,4.304
4641,4.47535
4194,4.05356
3705,4.48127
1131,4.10467
781,3.87817
4510,4.22222
3254,4.37905
1026,4.05356
2516,5.20747376146789
243,4.10467
2341,4.06217
3938,4.92028
3331,4.6954
500,4.57865
4815,4.97381
4233,4.95606
4455,4.43662
777,4.77852
4126,4.92028
1804,4.73279
144,4.16762
3188,4.61604
1287,4.6954
4804,4.41052
5197,3.85934
5369,4.02801
4607,3.87737
5187,4.41052
3401,4.49876
3180,4.5235
4442,3.8830200000000006
5249,5.100780000000001
3071,4.79788
656,4.13399
2508,4.13265
1005,3.93924
2636,4.616039999999999
436,3.40823
394,4.304
3867,4.49876
4870,4.96224
2767,4.22222
2101,4.47535
1001,4.07777
1592,4.0619
301,4.79788
1029,4.09875
2949,4.577758723404255
2236,3.92041
3394,4.61604
2183,4.44684
2731,4.29862
380,4.32337
5665,4.63299
3680,4.37905
4141,4.09875
1277,4.32902
2669,4.51678
4030,4.32283
3209,4.3812
3832,4.43662
2867,5.01201
