,runs_total_pg
5010,-0.1122292993630573
1928,0.0464596273291924
390,0.2894354838709676
2045,-0.0482352941176471
2056,0.0425806451612902
3000,0.0958653846153844
5526,0.1556296296296295
1945,-0.0421621621621619
4841,0.3271774193548387
4774,0.1201234567901236
1241,0.2324137931034481
4191,0.1163309352517986
5135,0.2962328767123285
5045,-0.0151587301587301
3200,0.2173376623376625
3031,-0.0991596638655461
4853,0.0607801418439716
2503,0.2889915966386551
4741,0.2276712328767122
1802,0.0633093525179858
754,-0.0779220779220779
1271,-0.2389655172413791
3641,-0.1115584415584416
2778,0.13688
813,0.1592405063291141
2354,0.107843137254902
2091,0.1545132743362829
3496,0.1490789473684209
3796,0.0665030674846626
2096,0.0783185840707966
4610,0.2089473684210525
4308,-0.020945945945946
3193,0.0508064516129033
4827,-0.0480128205128206
715,0.1776388888888888
1184,-0.125076923076923
155,-0.0589
4440,0.0734722222222223
1489,-0.2696376811594201
2146,0.203828125
5012,-0.1370921985815603
4868,-0.1235643564356435
768,0.1653124999999999
441,-0.2021854304635759
2475,0.0790476190476191
2474,0.0816312056737587
1424,-0.0531818181818181
5617,9.009009008990182e-05
3047,-0.1094999999999997
3329,0.0500000000000001
5519,-0.0479220779220777
4606,-0.181269841269841
2784,0.2105031446540879
5622,-0.1410679611650482
1406,-0.1981428571428569
2171,0.0026973684210525
3257,-0.0379605263157893
1764,0.0242105263157893
4836,-0.094326923076923
2550,0.1671171171171172
1120,-0.0033928571428572
1482,0.171363636363636
3753,-0.1623999999999998
7,0.1425581395348837
4306,-0.1507801418439716
3403,0.119622641509434
4268,0.0454545454545452
2678,-0.0424264705882353
2277,0.0213235294117646
1817,0.1331818181818183
2349,0.1496527777777778
1749,0.2772649572649574
5470,-0.2512056737588651
1077,-0.0122727272727272
1508,0.1191729323308269
3319,0.1968874172185428
4646,0.2648965517241375
3088,0.1393661971830986
4691,0.0758407079646018
4023,0.1510759493670886
4100,0.0136507936507937
157,-0.1621710526315789
4031,0.005220588235294
1506,-0.0489705882352942
3962,0.0303355704697985
4005,0.0393506493506492
2742,0.1252830188679246
2987,-0.0125185185185185
3430,-0.0471052631578947
4952,0.1523076923076925
5008,-0.1262878787878789
5301,0.0674172185430463
165,-0.0908064516129031
679,-0.1474242424242423
4251,0.0119620253164558
4410,0.1164102564102562
1523,0.1772649572649572
3637,0.1512499999999998
4675,-0.0074803149606299
2258,0.0661538461538461
1938,0.079496855345912
4978,0.0619135802469134
951,-0.0072108843537415
5660,-0.0414666666666668
5553,0.0783870967741935
1914,-0.2144852941176468
4964,0.049259259259259
465,0.0493464052287581
5168,0.149685534591195
2260,0.0946511627906978
2213,0.2032704402515722
3765,-0.0837383177570092
3708,0.1417391304347825
1148,0.1213084112149533
4536,0.2013043478260868
294,0.2601935483870968
5518,0.0475483870967741
5144,0.0013559322033897
534,0.1835172413793104
801,-0.0650632911392404
4229,-0.2103809523809522
3310,0.0224691358024689
5079,0.0519867549668875
3491,0.0099264705882352
4379,0.3023602484472047
1934,0.0177931034482759
1032,-0.0003821656050957
1081,0.1641818181818179
1028,-0.0416296296296295
2243,-0.2049999999999998
2838,-0.1354761904761902
3702,0.0437241379310345
5469,-0.1033108108108107
4731,-0.0434399999999998
2708,0.2171232876712328
1907,-0.1514414414414414
4236,0.3786394557823128
5406,0.1542138364779873
1551,0.1919565217391303
214,0.2213740458015267
511,0.3411340206185568
496,0.0506081081081081
3775,0.1545454545454547
731,0.0912903225806452
3332,-0.2011016949152541
4028,-0.0195488721804511
975,0.1703947368421051
2534,0.0658474576271186
2491,0.180111111111111
115,-0.0385534591194968
2187,0.056099290780142
4976,0.1656172839506171
950,-0.0814999999999999
1007,0.1897709923664122
3737,0.0706299212598426
249,0.2302469135802468
1515,-0.0831531531531531
763,-0.1733774834437083
4156,0.0456849315068493
2237,0.018705035971223
1964,0.3803703703703704
3817,-0.1366666666666665
146,0.0262727272727272
149,0.2767948717948716
2013,-0.1462295081967211
2627,0.15
2852,0.2375229357798164
5219,0.2993023255813952
3317,0.3260483870967739
4303,-0.1361635220125785
1971,0.0114035087719298
2874,0.0372483221476511
5512,0.0116107382550335
4087,-0.0921969696969697
3827,0.2349668874172184
3122,-0.041081081081081
4047,-0.0271631205673757
4980,-0.034567901234568
4509,0.1613043478260867
5455,-0.0851948051948049
323,-0.0812582781456952
985,-0.023972602739726
1958,0.0478947368421053
5662,0.0841818181818183
5384,-0.2096875
2960,0.024567901234568
3994,0.2231210191082802
3335,0.2415217391304346
755,0.1579738562091505
1111,0.1896688741721854
4375,0.2661111111111112
5253,0.1098039215686273
2247,-0.0208965517241378
