,player_id,year_id,name_common,opprpg,opprpg_1yr,opprpg_2yr,opprpg_3yr
168,aurilri01,2007,Rich Aurilia,4.77852,4.86675,4.55336,4.871722983870968
169,aurilri01,2008,Rich Aurilia,4.64186,4.77852,4.86675,4.55336
170,ausmubr01,1997,Brad Ausmus,4.61604,5.1167560000000005,4.63299,4.63541
171,ausmubr01,1998,Brad Ausmus,4.60824,4.61604,5.1167560000000005,4.63299
172,ausmubr01,1999,Brad Ausmus,5.29365,4.60824,4.61604,5.1167560000000005
173,ausmubr01,2000,Brad Ausmus,5.31786,5.29365,4.60824,4.61604
174,ausmubr01,2001,Brad Ausmus,4.73359,5.31786,5.29365,4.60824
175,ausmubr01,2002,Brad Ausmus,4.481,4.73359,5.31786,5.29365
176,ausmubr01,2003,Brad Ausmus,4.62384,4.481,4.73359,5.31786
177,ausmubr01,2004,Brad Ausmus,4.67092,4.62384,4.481,4.73359
178,ausmubr01,2005,Brad Ausmus,4.55336,4.67092,4.62384,4.481
179,ausmubr01,2006,Brad Ausmus,4.86675,4.55336,4.67092,4.62384
180,ausmubr01,2007,Brad Ausmus,4.77852,4.86675,4.55336,4.67092
181,avilaal01,2014,Alex Avila,4.13265,4.29243,4.41052,4.43662
182,aybarer01,2011,Erick Aybar,4.43662,4.44684,4.79788,4.704
183,aybarer01,2012,Erick Aybar,4.41052,4.43662,4.44684,4.79788
184,aybarer01,2013,Erick Aybar,4.29243,4.41052,4.43662,4.44684
185,aybarer01,2014,Erick Aybar,4.13265,4.29243,4.41052,4.43662
186,aybarer01,2015,Erick Aybar,4.304,4.13265,4.29243,4.41052
187,aybarer01,2016,Erick Aybar,4.50078126984127,4.304,4.13265,4.29243
188,aybarer01,2017,Erick Aybar,4.66123,4.50078126984127,4.304,4.13265
189,backmwa01,1987,Wally Backman,4.5235,4.15282,4.05356,4.06217
190,backmwa01,1988,Wally Backman,3.85934,4.5235,4.15282,4.05356
191,backmwa01,1989,Wally Backman,4.32283,3.85934,4.5235,4.15282
192,backmwa01,1990,Wally Backman,4.21496,4.32283,3.85934,4.5235
193,baergca01,1993,Carlos Baerga,4.73279,4.32337,4.47535,4.32902
194,baergca01,1994,Carlos Baerga,5.2498,4.73279,4.32337,4.47535
195,baergca01,1995,Carlos Baerga,5.10078,5.2498,4.73279,4.32337
196,baergca01,1996,Carlos Baerga,5.252923492063492,5.10078,5.2498,4.73279
197,baergca01,1997,Carlos Baerga,4.61604,5.252923492063492,5.10078,5.2498
198,baergca01,1998,Carlos Baerga,4.60824,4.61604,5.252923492063492,5.10078
199,baezja01,2019,Javier Baez,4.72014,4.32337,4.66123,4.5001
200,bagweje01,1994,Jeff Bagwell,4.63541,4.50252,3.8623,4.10117
201,bagweje01,1995,Jeff Bagwell,4.63299,4.63541,4.50252,3.8623
202,bagweje01,1996,Jeff Bagwell,4.69486,4.63299,4.63541,4.50252
203,bagweje01,1997,Jeff Bagwell,4.61604,4.69486,4.63299,4.63541
204,bagweje01,1998,Jeff Bagwell,4.60824,4.61604,4.69486,4.63299
205,bagweje01,1999,Jeff Bagwell,4.97381,4.60824,4.61604,4.69486
206,bagweje01,2000,Jeff Bagwell,5.05048,4.97381,4.60824,4.61604
207,bagweje01,2001,Jeff Bagwell,4.73359,5.05048,4.97381,4.60824
208,bagweje01,2002,Jeff Bagwell,4.481,4.73359,5.05048,4.97381
209,bagweje01,2003,Jeff Bagwell,4.62384,4.481,4.73359,5.05048
210,bagweje01,2004,Jeff Bagwell,4.67092,4.62384,4.481,4.73359
211,bailebo01,1967,Bob Bailey,3.82357,4.08073,4.01644,4.0237
212,bailebo01,1968,Bob Bailey,3.4085,3.82357,4.08073,4.01644
213,bailebo01,1969,Bob Bailey,4.06809,3.4085,3.82357,4.08073
214,bailebo01,1970,Bob Bailey,4.51678,4.06809,3.4085,3.82357
215,bailebo01,1971,Bob Bailey,3.89996,4.51678,4.06809,3.4085
216,bailebo01,1972,Bob Bailey,3.87737,3.89996,4.51678,4.06809
217,bailebo01,1973,Bob Bailey,4.13399,3.87737,3.89996,4.51678
218,bailebo01,1974,Bob Bailey,4.13641,4.13399,3.87737,3.89996
219,bailobo01,1980,Bob Bailor,4.498759999999999,4.70696,4.22707,4.54341
220,baineha01,1983,Harold Baines,4.49768,4.48127,4.07185,4.49876
221,baineha01,1984,Harold Baines,4.43204,4.49768,4.48127,4.07185
222,baineha01,1985,Harold Baines,4.58322,4.43204,4.49768,4.48127
223,baineha01,1986,Harold Baines,4.63756,4.58322,4.43204,4.49768
224,baineha01,1987,Harold Baines,4.934,4.63756,4.58322,4.43204
225,baineha01,1988,Harold Baines,4.37905,4.934,4.63756,4.58322
226,baineha01,1989,Harold Baines,4.32283,4.37905,4.934,4.63756
227,baineha01,1990,Harold Baines,4.32902,4.32283,4.37905,4.934
228,baineha01,1991,Harold Baines,4.47535,4.32902,4.32283,4.37905
229,baineha01,1992,Harold Baines,4.32337,4.47535,4.32902,4.32283
230,baineha01,1993,Harold Baines,4.73279,4.32337,4.47535,4.32902
231,baineha01,1994,Harold Baines,5.2498,4.73279,4.32337,4.47535
232,baineha01,1995,Harold Baines,5.10078,5.2498,4.73279,4.32337
233,baineha01,1996,Harold Baines,5.39802,5.10078,5.2498,4.73279
234,baineha01,1997,Harold Baines,4.96224,5.39802,5.10078,5.2498
235,bakerdu01,1975,Dusty Baker,4.11785,4.13641,4.13399,3.87737
236,bakerdu01,1976,Dusty Baker,3.97501,4.11785,4.13641,4.13399
237,bakerdu01,1977,Dusty Baker,4.37636,3.97501,4.11785,4.13641
238,bakerdu01,1978,Dusty Baker,4.00514,4.37636,3.97501,4.11785
239,bakerdu01,1979,Dusty Baker,4.21227,4.00514,4.37636,3.97501
240,bakerdu01,1980,Dusty Baker,4.01509,4.21227,4.00514,4.37636
241,bakerdu01,1981,Dusty Baker,3.87817,4.01509,4.21227,4.00514
242,bakerdu01,1982,Dusty Baker,4.0619,3.87817,4.01509,4.21227
243,bakerdu01,1983,Dusty Baker,4.10467,4.0619,3.87817,4.01509
244,balbost01,1987,Steve Balboni,4.934,4.63756,4.58322,4.43204
245,balbost01,1988,Steve Balboni,4.379049999999999,4.934,4.63756,4.58322
246,balbost01,1989,Steve Balboni,4.32283,4.379049999999999,4.934,4.63756
247,bandosa01,1971,Sal Bando,3.87468,4.16762,4.07777,3.4082300000000005
248,bandosa01,1972,Sal Bando,3.4679500000000005,3.87468,4.16762,4.07777
249,bandosa01,1973,Sal Bando,4.28517,3.4679500000000005,3.87468,4.16762
250,bandosa01,1974,Sal Bando,4.09875,4.28517,3.4679500000000005,3.87468
251,bandosa01,1975,Sal Bando,4.29862,4.09875,4.28517,3.4679500000000005
252,bandosa01,1976,Sal Bando,3.97959,4.29862,4.09875,4.28517
253,bandosa01,1977,Sal Bando,4.54341,3.97959,4.29862,4.09875
254,bandosa01,1978,Sal Bando,4.22707,4.54341,3.97959,4.29862
255,bandosa01,1979,Sal Bando,4.70696,4.22707,4.54341,3.97959
256,bankser01,1965,Ernie Banks,4.01644,4.0237,3.80823,4.50387
257,bankser01,1966,Ernie Banks,4.08073,4.01644,4.0237,3.80823
258,bankser01,1967,Ernie Banks,3.82357,4.08073,4.01644,4.0237
259,bankser01,1968,Ernie Banks,3.4085,3.82357,4.08073,4.01644
260,bankser01,1969,Ernie Banks,4.06809,3.4085,3.82357,4.08073
261,bannial01,1982,Alan Bannister,4.48127,4.07185,4.49876,4.70696
262,bannial01,1983,Alan Bannister,4.49768,4.48127,4.07185,4.49876
263,barajro01,2011,Rod Barajas,4.15524,4.3812,4.79788,4.704
264,barajro01,2012,Rod Barajas,4.28947,4.15524,4.3812,4.79788
265,barfije01,1985,Jesse Barfield,4.58322,4.43204,4.49768,4.48127
266,barfije01,1986,Jesse Barfield,4.63756,4.58322,4.43204,4.49768
267,barfije01,1987,Jesse Barfield,4.934,4.63756,4.58322,4.43204
268,barfije01,1988,Jesse Barfield,4.37905,4.934,4.63756,4.58322
269,barfije01,1989,Jesse Barfield,4.322829999999999,4.37905,4.934,4.63756
270,barfije01,1990,Jesse Barfield,4.32902,4.322829999999999,4.37905,4.934
271,barmecl01,2011,Clint Barmes,4.15524,4.3812,4.50898,4.64186
272,barmecl01,2012,Clint Barmes,4.28947,4.15524,4.3812,4.50898
273,barnhtu01,2019,Tucker Barnhart,4.72014,4.32337,4.66123,4.5001
274,barrema02,1987,Marty Barrett,4.934,4.63756,4.58322,4.43204
275,barrema02,1988,Marty Barrett,4.37905,4.934,4.63756,4.58322
276,barrema02,1989,Marty Barrett,4.32283,4.37905,4.934,4.63756
277,barremi01,2007,Michael Barrett,4.77852,4.86675,4.55336,4.67092
278,bartlja01,2009,Jason Bartlett,4.79788,4.704,4.85895,4.92028
279,bartlja01,2010,Jason Bartlett,4.44684,4.79788,4.704,4.85895
280,bartlja01,2011,Jason Bartlett,4.15524,4.44684,4.79788,4.704
281,basske01,1987,Kevin Bass,4.5235,4.15282,4.05356,4.06217
282,basske01,1988,Kevin Bass,3.85934,4.5235,4.15282,4.05356
283,basske01,1989,Kevin Bass,3.92041,3.85934,4.5235,4.15282
284,batisto01,2002,Tony Batista,4.83016,4.88558,5.31786,5.194544647887325
285,batisto01,2003,Tony Batista,4.90387,4.83016,4.88558,5.31786
286,batisto01,2004,Tony Batista,4.67092,4.90387,4.83016,4.88558
287,batteea01,1965,Earl Battey,3.93924,4.05437,4.0662,4.43742
288,batteea01,1966,Earl Battey,3.88302,3.93924,4.05437,4.0662
289,bautijo02,2009,Jose Bautista,4.79788,4.65205484375,4.77852,4.86675
290,bautijo02,2010,Jose Bautista,4.44684,4.79788,4.65205484375,4.77852
291,bautijo02,2011,Jose Bautista,4.43662,4.44684,4.79788,4.65205484375
292,bautijo02,2012,Jose Bautista,4.41052,4.43662,4.44684,4.79788
293,bautijo02,2013,Jose Bautista,4.29243,4.41052,4.43662,4.44684
294,bautijo02,2014,Jose Bautista,4.13265,4.29243,4.41052,4.43662
295,bautijo02,2015,Jose Bautista,4.304,4.13265,4.29243,4.41052
296,bautijo02,2016,Jose Bautista,4.50306,4.304,4.13265,4.29243
297,bautijo02,2017,Jose Bautista,4.6954,4.50306,4.304,4.13265
298,bautijo02,2018,Jose Bautista,4.32337,4.6954,4.50306,4.304
299,bayja01,2007,Jason Bay,4.77852,4.86675,4.55336,4.67092
300,bayja01,2008,Jason Bay,4.661504258064515,4.77852,4.86675,4.55336
301,bayja01,2009,Jason Bay,4.79788,4.661504258064515,4.77852,4.86675
302,bayja01,2010,Jason Bay,4.3812,4.79788,4.661504258064515,4.77852
303,bayja01,2011,Jason Bay,4.15524,4.3812,4.79788,4.661504258064515
304,baylodo01,1975,Don Baylor,4.29862,4.09875,4.28517,3.46795
305,baylodo01,1976,Don Baylor,3.97959,4.29862,4.09875,4.28517
306,baylodo01,1977,Don Baylor,4.54341,3.97959,4.29862,4.09875
307,baylodo01,1978,Don Baylor,4.22707,4.54341,3.97959,4.29862
308,baylodo01,1979,Don Baylor,4.70696,4.22707,4.54341,3.97959
309,baylodo01,1980,Don Baylor,4.49876,4.70696,4.22707,4.54341
310,baylodo01,1981,Don Baylor,4.07185,4.49876,4.70696,4.22707
311,baylodo01,1982,Don Baylor,4.48127,4.07185,4.49876,4.70696
312,baylodo01,1983,Don Baylor,4.49768,4.48127,4.07185,4.49876
313,baylodo01,1984,Don Baylor,4.43204,4.49768,4.48127,4.07185
314,baylodo01,1985,Don Baylor,4.58322,4.43204,4.49768,4.48127
315,baylodo01,1986,Don Baylor,4.63756,4.58322,4.43204,4.49768
316,baylodo01,1987,Don Baylor,4.934000000000001,4.63756,4.58322,4.43204
317,beckegl01,1968,Glenn Beckert,3.4085,3.82357,4.08073,4.01644
318,beckegl01,1969,Glenn Beckert,4.06809,3.4085,3.82357,4.08073
319,beckegl01,1970,Glenn Beckert,4.51678,4.06809,3.4085,3.82357
320,beckegl01,1971,Glenn Beckert,3.89996,4.51678,4.06809,3.4085
321,beckegl01,1972,Glenn Beckert,3.87737,3.89996,4.51678,4.06809
322,beckegl01,1973,Glenn Beckert,4.13399,3.87737,3.89996,4.51678
323,beckhgo01,2012,Gordon Beckham,4.41052,4.43662,4.44684,4.79788
324,beckhgo01,2013,Gordon Beckham,4.29243,4.41052,4.43662,4.44684
325,beckhgo01,2014,Gordon Beckham,4.13265,4.29243,4.41052,4.43662
326,belanma01,1971,Mark Belanger,3.87468,4.16762,4.07777,3.40823
327,belanma01,1976,Mark Belanger,3.97959,4.29862,4.09875,4.28517
328,belanma01,1977,Mark Belanger,4.54341,3.97959,4.29862,4.09875
329,belanma01,1978,Mark Belanger,4.22707,4.54341,3.97959,4.29862
330,bellbu01,1976,Buddy Bell,3.97959,4.29862,4.09875,4.28517
331,bellbu01,1977,Buddy Bell,4.54341,3.97959,4.29862,4.09875
332,bellbu01,1978,Buddy Bell,4.22707,4.54341,3.97959,4.29862
333,bellbu01,1979,Buddy Bell,4.70696,4.22707,4.54341,3.97959
334,bellbu01,1980,Buddy Bell,4.49876,4.70696,4.22707,4.54341
335,bellbu01,1981,Buddy Bell,4.07185,4.49876,4.70696,4.22707
336,bellbu01,1982,Buddy Bell,4.48127,4.07185,4.49876,4.70696
337,bellbu01,1983,Buddy Bell,4.49768,4.48127,4.07185,4.49876
338,bellbu01,1984,Buddy Bell,4.43204,4.49768,4.48127,4.07185
339,bellbu01,1985,Buddy Bell,4.348205298013244,4.43204,4.49768,4.48127
340,bellbu01,1986,Buddy Bell,4.15282,4.348205298013244,4.43204,4.49768
341,bellbu01,1987,Buddy Bell,4.5235,4.15282,4.348205298013244,4.43204
342,bellbu01,1988,Buddy Bell,3.85934,4.5235,4.15282,4.348205298013244
343,bellda01,2001,David Bell,4.88558,5.31786,5.29365,5.028206060606061
344,bellda01,2002,David Bell,4.481,4.88558,5.31786,5.29365
345,bellda01,2003,David Bell,4.62384,4.481,4.88558,5.31786
