waa_pg,player_id,year_id,name_common,age,g,team_gp,pa_pg,inn_pg,runs_bat_pg,runs_br_pg,runs_dp_pg,runs_defense_pg,runs_position_pg,opprpg,percent_team_gp,pa_per_team_gp,inn_per_team_gp,g_c_share,g_1b_share,g_2b_share,g_3b_share,g_ss_share,g_cf_share,g_dh_share,g_cof_share
0.004403669724770642,johnsda06,2005,Dan Johnson,25.0,109,162.0,3.981651376146789,8.520183486238533,0.07385321100917432,-0.010091743119266056,0.008073394495412844,0.027522935779816515,-0.05651376146788991,4.717179999999999,0.6728395061728395,2.6790123456790123,5.732716049382717,0.0,0.9528301886792453,0.0,0.0,0.0,0.0,0.04716981132075472,0.0
0.0002564102564102564,johnsda06,2007,Dan Johnson,27.0,117,162.0,4.230769230769231,8.612820512820512,0.07145299145299144,-8.547008547008547e-05,-0.01358974358974359,0.0,-0.059743589743589745,4.85895,0.7222222222222222,3.0555555555555554,6.22037037037037,0.0,0.8508771929824561,0.0,0.0,0.0,0.0,0.14912280701754385,0.0
0.0077857142857142864,johnsde01,1964,Deron Johnson,25.0,140,163.0,3.7071428571428573,7.8428571428571425,0.11607142857142858,-0.011500000000000002,-0.0038571428571428576,0.017142857142857144,-0.054285714285714284,4.0237,0.8588957055214724,3.184049079754601,6.736196319018405,0.0,0.9225352112676057,0.0,0.007042253521126761,0.0,0.0,0.0,0.07042253521126761
0.008867924528301886,johnsde01,1965,Deron Johnson,26.0,159,162.0,4.276729559748428,8.945283018867924,0.13911949685534591,-0.015471698113207547,-0.0047169811320754715,-0.05660377358490566,0.021698113207547172,4.01644,0.9814814814814815,4.197530864197531,8.77962962962963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.014647887323943662,johnsde01,1966,Deron Johnson,27.0,142,160.0,3.9014084507042255,8.180985915492958,0.01795774647887324,0.003591549295774648,-0.008098591549295774,-0.08732394366197184,-0.06535211267605634,4.08073,0.8875,3.4625,7.260625,0.0,0.36410256410256403,0.0,0.0923076923076923,0.0,0.0,0.0,0.5435897435897435
-0.017407407407407406,johnsde01,1967,Deron Johnson,28.0,108,162.0,3.6018518518518516,7.626851851851852,-0.10138888888888888,-0.006203703703703704,-0.0036111111111111114,-0.005555555555555556,-0.039074074074074074,3.82357,0.6666666666666666,2.4012345679012346,5.084567901234569,0.0,0.7714285714285715,0.0,0.22857142857142856,0.0,0.0,0.0,0.0
-0.016692913385826774,johnsde01,1968,Deron Johnson,29.0,127,163.0,3.015748031496063,6.6141732283464565,-0.06125984251968504,-0.0030708661417322837,-0.010551181102362205,-0.025984251968503937,-0.03952755905511811,3.4085,0.7791411042944786,2.3496932515337425,5.153374233128834,0.0,0.8220338983050847,0.0,0.17796610169491525,0.0,0.0,0.0,0.0
-0.010072463768115941,johnsde01,1969,Deron Johnson,30.0,138,162.0,3.949275362318841,7.963768115942029,0.05007246376811594,-0.004565217391304348,-0.012608695652173913,-0.10362318840579711,-0.027028985507246375,4.06809,0.8518518518518519,3.3641975308641974,6.783950617283951,0.0,0.12857142857142856,0.0,0.3571428571428571,0.0,0.0,0.0,0.5142857142857142
-0.004842767295597484,johnsde01,1970,Deron Johnson,31.0,159,161.0,4.088050314465409,8.437735849056603,0.05918238993710692,0.0029559748427672953,-0.009559748427672956,-0.05220125786163522,-0.05452830188679245,4.51678,0.9875776397515528,4.037267080745342,8.332919254658384,0.0,0.9808917197452229,0.0,0.01910828025477707,0.0,0.0,0.0,0.0
0.00569620253164557,johnsde01,1971,Deron Johnson,32.0,158,162.0,4.177215189873418,8.550632911392405,0.1460759493670886,-0.019113924050632912,-0.015949367088607596,-0.019620253164556962,-0.04683544303797468,3.8999599999999996,0.9753086419753086,4.074074074074074,8.339506172839506,0.0,0.8544303797468354,0.0,0.14556962025316456,0.0,0.0,0.0,0.0
